date,exchange,FG,ZC,TA,PM,CF,WH,SR,RI,OI,MA,JR,RM,LR,SM,SF,WS,WT,RO,ER,ME,GN,RS,TC,CY,AP,al,fu,cu,zn,pb,bu,sn,ni,ru,au,ag,rb,hc,wr,sc,IF,TF,T,IC,IH,TS,p,v,jd,l,pp,fb,bb,i,j,jm,c,a,b,m,y,cs,s
2013-04-03,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-09,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-18,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-19,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-22,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-23,CZCE,FG1309,,TA1309,PM1307,CF1309,WH1309,SR1309,RI1309,OI1309,,,RM1309,,,,WS1305,,RO1305,ER1305,ME1309,,RS1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
